id,title,author_info,rating,pros,cons,Categories
19,Great place to work,"Jul 3, 2022 - Transportation Specialist in New Delhi",5,You get oprtunity to work on global networks,work pressure is quite high,Culture
20,Superb company,"Jul 4, 2022 - SDS Associate in Hyderābād",5,Great place to work and develop skills,Some pressure on peak time but great company to work,Culture
21,Good work place,"Jul 4, 2022 - Human Resources Assistant in Bangalore",5,The best place to work,As of now nothing to tell,Technology
22,Dceo,"Jul 4, 2022 - DCEO ( EOT) in Navi Mumbai",5,"Good, Good ,good atmosphere, healthy atmosphere,good opportunities","Field work, good experience, life work balanced, loving people",Management
23,Happy to be an employee in Amazon,"Jul 4, 2022 - Selling Partner Support Associate in Hyderābād",5,"Happy to be an employee in Amazon. It's a dream job to work in this company. Hike, bonus, leaders and culture is a positive thing in Amazon.",Nothing experienced as of now.,Culture
24,Great place to work,"Jul 4, 2022 - Solution Architect Manager in Bangalore",5,"Leadership Principles, Good compensation, Inclusive culture",Nothing really! It's a great place to work.,Management
25,Good to work,"Jul 4, 2022 - Automation Analyst in Bangalore",5,Flexible shifts and good work place,Management is at it worst,Management
26,Best workplace,"Jun 30, 2022 - Catalogue Specialist in Hyderābād",5,"Best work environment, Work life balance",No concept of overtime and it's bonus.,Culture
27,excellent,"Jul 3, 2022 - in Ongole",5,i love to work with amozon,i have ability to work,Management
28,AWSeome place to work,"Jul 3, 2022 - Account Manager in New Delhi",5,#NAME?,#NAME?,Technology
29,Good,"Jul 3, 2022 - Instructional Designer in Bangalore",5,Good place to and grow here. Everyone gets equal opportunity.,Nothing as of now that I can think of.,Management
30,Great place to work,"Jul 3, 2022 - Manager-1 in Hyderābād",5,Compensation and benefits are excellent,Follow strict performance management policies,Management
31,analyst,"Jul 3, 2022 - Project Manager in Mumbai",5,salary skills are the benefits,competition is must in big companies,Technology
32,Amazon Pay India is a great place to work,"Jul 3, 2022 - Anonymous Employee in Bangalore",5,"Work only during India business hours Co-located with business, tech and leadership teams Tech systems built ground up Lot of scope for innovation",Regulatory headwinds in the payments space could churn the priorities but is also an opportunity to innovate,Management
33,nil,"Jul 2, 2022 - Transaction Risk Investigator in Bangalore",5,work culture is superb and associates are very friendly and helpful.,sometimes the shift changes and process changes. But that is in some rare situation it will be a issue.,Technology
34,Best company to work!,"Jul 2, 2022 - SDE 1 in Gurgaon, Haryana",5,Good pay Work life balance Supportive managers Subsidised meals Flexible working hours,Sometimes become hectic to manage deadlines,Technology
35,Great place to work,"Jul 2, 2022 - Project Manager in Bangalore",5,"Chance to execute your skills , learning & individual development, Growth",nothing as such i can see,Technology
36,Working@Amazon,"Jul 1, 2022 - Manager in Hyderābād",5,"There is no place to work like Amazon. Its day1 always and you get to learn all the time. Learning experience is enriched. While speed matters, they give time for people to settle in the roles before implementing the KRA's. By implementing various initiatives the over all personality and acumen is shaped finely. Excited to be working here","Its an ocean. Unless we prioritize ruthlessly and have a laser focus,its very easy to feel lost.",Technology
37,Content Reviewer,"Jul 1, 2022 - Content Moderator in Bangalore",5,"Good Management, Timely login and logout,",Salary is less comapared to L2,Management
38,Amazon is a great company to work with.,"Jul 1, 2022 - Device Associate in Bangalore",5,Great Learning Opportunity for Freshers.,No Cons to share with.,Culture
39,Good,"Jul 3, 2022 - Instructional Designer in Bangalore",5,Good place to and grow here. Everyone gets equal opportunity.,Nothing as of now that I can think of.,Management
40,Great place to work,"Jul 3, 2022 - Manager-1 in Hyderābād",5,Compensation and benefits are excellent,Follow strict performance management policies,Management
41,analyst,"Jul 3, 2022 - Project Manager in Mumbai",5,salary skills are the benefits,competition is must in big companies,Technology
42,Amazon Pay India is a great place to work,"Jul 3, 2022 - Anonymous Employee in Bangalore",5,"Work only during India business hours Co-located with business, tech and leadership teams Tech systems built ground up Lot of scope for innovation",Regulatory headwinds in the payments space could churn the priorities but is also an opportunity to innovate,Management
43,nil,"Jul 2, 2022 - Transaction Risk Investigator in Bangalore",5,work culture is superb and associates are very friendly and helpful.,sometimes the shift changes and process changes. But that is in some rare situation it will be a issue.,Technology
44,Best company to work!,"Jul 2, 2022 - SDE 1 in Gurgaon, Haryana",5,Good pay Work life balance Supportive managers Subsidised meals Flexible working hours,Sometimes become hectic to manage deadlines,Technology
45,Great place to work,"Jul 2, 2022 - Project Manager in Bangalore",5,"Chance to execute your skills , learning & individual development, Growth",nothing as such i can see,Technology
46,Working@Amazon,"Jul 1, 2022 - Manager in Hyderābād",5,"There is no place to work like Amazon. Its day1 always and you get to learn all the time. Learning experience is enriched. While speed matters, they give time for people to settle in the roles before implementing the KRA's. By implementing various initiatives the over all personality and acumen is shaped finely. Excited to be working here","Its an ocean. Unless we prioritize ruthlessly and have a laser focus,its very easy to feel lost.",Technology
47,Content Reviewer,"Jul 1, 2022 - Content Moderator in Bangalore",5,"Good Management, Timely login and logout,",Salary is less comapared to L2,Management
48,Amazon is a great company to work with.,"Jul 1, 2022 - Device Associate in Bangalore",5,Great Learning Opportunity for Freshers.,No Cons to share with.,Culture
49,Respect invidivual,"Jul 1, 2022 - Senior Compliance Associate in Zürich",5,"Its the best place to work, perfect balance between work and life. Also you feel very respected and valued in the company.",No Comments as of now. Its great working here.,Culture
50,Amazing Place to Innovate,"Jul 1, 2022 - Senior Program Manager in Bangalore",5,"Great Place to work, learn and grow.",Very peculiar culture and hence it takes time to settle in.,Culture
51,Best workplace,"Jul 1, 2022 - Resolution Specialist in Pune",5,Salary on time Good perks Amazing management.always supportive,Night shifts is the only issue rest company perfect,Culture
52,good company,"Jul 1, 2022 - Quality Specialist in Hyderābād",5,"great work culture, perks, flexible timings, work life balance","no value of employee, no learning",Culture
53,Good place to work,"Jul 1, 2022 - Anonymous Employee in Hyderābād",5,Very nice work culture in the office,Management are too micro managing,Management
54,Great,"Jul 1, 2022 - Fraud Analyst in Bangalore",5,Great company and a place to work. for,No Cons as such that I can think off,Culture
55,Excellent First 3 Months,"Jul 1, 2022 - Ops Manager in Bangalore",5,"I just completed my 3 months here in AWS Blr as Ops Manager - NetSec and it's a tremendous experience so far. In true sense the culture here is Peculiar. It's so vast, so dynamic, so fast paced and plenty of opportunities to learn and grow. In every nook and corner you will find someone who can amaze you and lot many things you can learn from that person. So, Day1 is going on and it will remain always.",So many things to grab at a moment and and it's definitely overwhelming at times.,Technology
56,refgyju,"Jul 1, 2022 - Senior Content Writer in Bangalore",5,very good company to work,no cons are there in this company,Culture
57,Great Place to work,"Jul 1, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,"Everything amazing, people, culture, campus",none none none none none,Culture
58,Great Company,"Jul 1, 2022 - Transportation Specialist in Hyderābād",5,Jeff Bezos is amazing guy!!,No down sides to working for amazon,Culture
59,A decent experience,"Jul 1, 2022 - Senior Associate in Pune",5,"Good exposure to different departments, Quick upskilling",Largely metric driven even if the required threshold is obtained,Technology
60,Good,"Jun 29, 2022 - SDE 1 in Bangalore",5,Money is good in amazon,The pressure is bad in amazon,Management
61,My experience in Amazon,"Jun 30, 2022 - Anonymous Employee in Hyderābād",5,Amazon is great place to make our career. I have received an over whelming welcome from my manager and other team members after joining. Everything is very much structured in this organization. The training program is very good. We have sufficient time to complete them. All the training programs have been made after detailed research. I can say that I am a proud Amazonian.,I hardly find any cons in Amazon.,Technology
62,Copy paste job is nice,"Jun 30, 2022 - Anonymous Employee in Hyderābād",5,"Salary on time, and work is limited",Timing is some difficult For Employee.,Human_Resources
63,Great company,"Jun 30, 2022 - ML Data Associate II in New Delhi",5,Everything comes under pros in Amazon. I still miss this company and trying hard to get back into it,Sometimes internal politics and favouratism,Culture
64,Nothing,"Jun 30, 2022 - Customer Service Representative (CSR) in New Delhi",5,Very Good working environment at the company.,Sometimes it gets hectic to work.,Management
65,Great place to work,"Jun 30, 2022 - Senior Seller Support Associate in Bangalore",5,Option to work from home or office. Great work place culture,I haven't come accross any yet.,Culture
66,Vcs amazon good for freshers,"Jun 30, 2022 - Amazon Vcs in Lucknow",5,Good atmosphere and trainers. Good perks and benefits.,I dont found any except the salary which is on a bit lower side.,Management
67,Best place to nourish your career,"Jun 30, 2022 - Senior Associate in Bangalore Rural",5,Try to learn something everyday and keep growing.,Nothing for someone who can keep learning and exploring while staying focused on their day to day job.,Technology
68,Very Good Company,"Jun 29, 2022 - Business Operations Specialist in Hyderābād",5,Good environment to start your work life,Nothing specifically as this is the best company I worked with.,Culture
69,Maintains quality and utilization,"Jun 28, 2022 - Catalog Associate in Hyderābād",5,"At Amazon we can find employee friendly behavior, so that's the main reason for me to join Amazon. Great benefits while working at Amazon.",I think there are no cons for working in Amazon.,Human_Resources
70,Awesome and Amazing !!!,"Jun 28, 2022 - Seller Support Associate in Pune",5,"Working in the Amazon is very great experience, Not everything can be described in the words. All things are perfect and best here. We have all things here which are needed to work in company. The company has very great culture and very well work - life balance. Amazon provides many benefits and compensation. The company has very great Culture, Values, Diversity and Inclusion. Even the care for minor thing is taken here. It's really hard to describe everything in words.","Nothing at all, writing in cons because at least 5 words are required to written here.",Culture
71,Best company,"Jun 28, 2022 - Software Development Engineer (SDE) in Hyderābād",5,friendly environment will get to learn new,i wouldnt say any from my side,Technology
72,Pay is very low,"Jun 28, 2022 - Anonymous Employee in Bangalore",5,No pressure Flexible timings and weekly offs,Less salary and career growth is bad,Technology
73,about the company,"Jun 28, 2022 - Quality Analyst in Chennai",5,"good environment, in my team really i have nice people who are all gives warm welcome to the new hires.",there are no such cons about Amazon.,Technology
74,Great workplace,"Jun 28, 2022 - in Hyderābād",5,Good benefits Good growth opportunities Great culture Decent Work-life balance,Sometimes work hours can be long but depends on situations.,Culture
75,Have fun and work hard,"Jun 26, 2022 - Tron Associate in Hyderābād",5,"Friendly superiors, career growth and opportunities.",Salary structure isa bit below the average pay you can get working at competitor companies of Amazon.,Culture
76,Great Company to Work,"Jun 27, 2022 - Associate Account Manager in Chennai",5,All great and happy to be prt of amazon,Nothing negative I found ever,Culture
77,My Amazon Experience,"Jun 27, 2022 - Senior Technical Program Manager in Bangalore",5,Wonderful Company working based on leadership Principle. Structured way of working Good compensation Nice working environment,"I joined during pandemic time, so team bonding is challenging",Management
78,"Senior Manager, Program Management Comp","Jun 27, 2022 - Senior Manager, Program Management in Chennai",5,"Flexibility to experiment, allows room to fail",At times focuses more on growth areas than strengths,Technology
79,Risk investigator,"Jun 27, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,Best company to work for,Very difficult to extend your career in BRI,Culture
80,Amazing place to work,"Jun 26, 2022 - Senior User Experience Designer in Bangalore",5,If you don’t fit well with your team. You can always move to other teams until you find you place. It’s a great place to work. A place we’re customers are valued and not betrayed. A place were you can finish work and go to sleep without hurting.,Teams are very different from each other. It’s important to find the courage to walk away if the team’s working culture doesn’t impress you. There are always more teams that wants you.,Culture
81,Company culture and Carrier growth,"Jun 24, 2022 - Software Development Engineer -1 in Chennai",5,"1. Amazon is a great place to work for! You will get a lot to learn and if you are an enthusiast in problem solving then Amazon is a right place for you. 2. Peers are helpful in unblocking you from facing hurdles initially and when days go by, you will be mentored to unblock yourself on your own. 3. You will feel included in the team and your voice/ideas is always heard by people as Amazon considers employees as their super-powers. 4. Amazon is an open place where you can explore whichever carrier opportunity you want to choose/ whichever technology you want to work on.","1. Amazon basically follows a start-up culture, hence in few teams the processes are not streamlined though. Yet, you will be regularly asked about the issues you faced as a new joiner/employee and people will definitely look-up for ways to fix streamlining the process.",Technology
82,Best company any employee could ask for,"Jun 25, 2022 - Business Operations Specialist in Hyderābād",5,1.Great teammates. 2.Great work culture. 3.Lots of opportunities and challenges.,Couldn't find any as of now.,Culture
83,Amazon Experience,"Jun 24, 2022 - Tech Analyst II in Bangalore",5,"They are very caring of their employees, very flexible schedules, great pay, smart folks so you are gonna learn a lot, ample opportunities, lots of fun and work life balance. They stand by their core values. It always Day 1 and just ""Work hard, Have fun, Make history""",I did not have any cons for this company yet,Culture
84,Amazing Work Experience and Exposure,"Jun 24, 2022 - Sps Associate in Chennai",5,"Cool Environment, Diversity and Great Campus",Work-Life balance is quite tough,Culture
85,Nice,"Jun 24, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",5,Best company as pay is good,"so much work load, not good",Culture
86,Good company,"Jul 7, 2022 - Software Engineer in Indi, Karnataka",4,#NAME?,#NAME?,Culture
87,Great work life balance,"Jul 8, 2022 - Customer Service Associate in Coimbatore",4,"Great Worklife balance with Appreciation. Best Leave Policy, Gift cards",Too much of calls during sale,Culture
88,Great experience,"Jun 23, 2022 - Associate Recruiting Systems in Hyderābād",5,"The company makes you feel included. It is easy to reach out to people, and management helps you as much as possible.",Long working hours. Difficult to maintain work life balance,Culture
89,Great place to work,"Jun 23, 2022 - M L Data Associate in Noida",5,One of the great organisation to work for with lots of perks.,As such there are No Cons,Technology
90,Good Place,"Jul 6, 2022 - VCS Customer Service Representative in New Delhi",4,"Good place to start your career in customer service, nice culture, ample amount of leaves","Nothing much to learn, repetitive work, less pay",Culture
91,Best place to work,"Jul 7, 2022 - Associate in Hyderābād",4,Very Friendly environment for working,Pressure could have been lil less.,Technology
92,Awesome Place to learn & grow in tech domain,"Jul 7, 2022 - Program Manager in Hyderābād",4,#NAME?,#NAME?,Technology
93,Management,"Jul 7, 2022 - Senior 3D Artist in Hyderābād",4,Nice place to work leads are more supportive,management keep on changing pipelines,Management
94,Join at your own risk,"Jul 8, 2022 - Software Engineer II SDE2 in Bangalore",2,You get to learn a lot.,"Toxic culture, no WLB, Leaders are not very strong technically.",Culture
95,Ok,"Jul 7, 2022 - Senior Technical Program Manager in Hyderābād",3,Leadership principles are great to see and implement. Very high standards.,Management does not provide freedom to choose work. Some managers are fearful to take risk and self oriented then people oriented.,Management
96,"Good, but can be better!","Jun 22, 2022 - Investigation Specialist in Hyderābād",5,Not much of a workload. The work is very easy. Multiple workarounds to issues.,Rotational shifts are bad. Can't really plan anything. Pay is very compared to other companies,Technology
97,Good,"Jun 22, 2022 - Quality Specialist in Hyderābād",5,"Benefits, good salary structure, increment, good working culture","career growth, strict timing, nothing else",Culture
98,Working Experience,"Jun 22, 2022 - Software Development Engineer in Bangalore",5,#NAME?,#NAME?,Culture
99,Nothing,"Jun 22, 2022 - ML Data Associate-1 in Hyderābād",5,"very good work culture, environment and people.",none so far. one of the best companies,Culture
100,Working Environment,"Jun 22, 2022 - Technical Support Engineer in Chennai",5,"Work culture, work life balance, Healthy management",No Cons to mention here,Management
101,Great Place to work,"Jun 22, 2022 - Qualiity Analyst in Bangalore",5,Supportive manager and colleagues. Benefits. General shift. Ample training before you start off.,Average Pay Scale Low basic Pay,Technology
102,Application Support Engineer,"Jun 22, 2022 - Application Support Engineer in Bangalore",5,Both Development and Support related tasks are there.,there is nothing i could mention,Technology
103,Seeseeking role in Data analytics and Business Intelligence with an esteem organization,"Jul 5, 2022 - Data Analytics in Bangalore",4,Work Culture and leave policy,Salary is low as per industrial standard,Management
104,Great culture to work,"Jul 6, 2022 - CSA - Customer Service Associate in Pune",4,Benefits and work culture is best.,"Growth is not fast, many conditions to meet if you want to grow in carreer",Culture
105,Culture varies from team to team,"Jul 6, 2022 - Software Development Engineer II in Hyderābād",4,1. A lots of learning opportunities 2. Very smart colleagues 3. Good Pay,1. Work load depends on your team 2. Politics,Culture
106,Good,"Jul 6, 2022 - Customer Service Representative in New Delhi",4,Good work environment Friendly team and managers,Pay is very less as compared to the other competition,Technology
107,Good place for freshers,"Jul 6, 2022 - Machine Learning Data Associate I in Hyderābād",4,1. No work pressure 2. Good Environment,1. Slow growth 2. Average pay,Management
108,Review ads for various markeplaces,"Jul 6, 2022 - Content Reviewer in Bangalore",4,Best career growth in Amazon,The work timings are a bit off,Management
109,Good for Career Growth but less facilities for employees,"Jul 6, 2022 - SDE-2 in Hyderābād",3,"1. Good career growth opportunities 2. If you work, promotions are fast 3. Facilities for employees less compared to other FAANG companies",1. Some teams are too OE intensive causing burnout in employees 2. On-call is heavy in certain cases and disturbs mental peace.,Human_Resources
110,Good,"Jul 6, 2022 - Team Lead in Calcutta",3,Management is good here at Amazon,Work life balance is not good,Management
111,Salary for Catalog Associate,"Jul 6, 2022 - Catalog Associate in Chennai",3,The allowances provided are ok,Not much growth for this designation,Technology
112,Decent role and good pay,"Jun 21, 2022 - Quality Auditor in Bangalore",5,"Good work life balance, Individual contributor","No cons as such, just missing out on going to the office",Technology
113,Company review,"Jun 21, 2022 - Device Associate/Test Engineer in Chennai",5,Best place to work and learn new technologies,There is no cons about amazon,Technology
114,Amazing place to work,"Jun 21, 2022 - Senior Customer Care Representative in Hyderābād",5,Streamlined Benefits for medical and covid Friendly environment Beautiful offices Opportunities,Bonus & incentives stopped No increase in Sodexo Customer care employees are treated badly as In employee who work for tron or roc,Human_Resources
115,Best place to work,"Jun 21, 2022 - Catalog Specialist in Hyderābād",5,"Good work life balance, no Raitational shift or weekoffs",Have to do Monotonous work,Culture
116,Very good benefits,"Jun 21, 2022 - D2AS ASSOCIATE in Hyderābād",5,They pay more than your ctc,Monotonous work. Nothing specific otherwise,Technology
117,CSA review,"Jun 21, 2022 - CSA - Customer Service Associate in Calcutta",5,Great Team Lovely work environment Awards and recognition Leaves and overtime benefits,Repetitive task Work load Work from home,Technology
118,Great,"Jun 21, 2022 - ML Associate in Chennai",5,Everything good All facilities Good place,Na Not applicable Not any,Culture
119,Good place to work - as long as you're part of global teams,"Jul 5, 2022 - Program Manager in Bangalore",4,"Good culture, Good RSU options. As long as your manager is good you will grow","IN business team is like a start up, no work life balance",Management
120,Good,"Jul 5, 2022 - Customer Service Representative in Hyderābād",4,Work environment pay Management and leadership Food Allowances,Rotational shifts slow growth not enough work knowledge transfer work during peak season managemnent,Management
121,good place to work,"Jul 5, 2022 - Process Associate in Pune",4,good work culture. no rush or target. you can be good Team player.,growth is slow. you may feel rush sometimes. shift schedule changes after every 90days,Culture
122,Not good,"Jul 5, 2022 - Software Engineer in Bangalore",3,Good perks Good learning in some projects,Management needs to be improved,Management
123,Good work life balance,"Jun 20, 2022 - Cloud Systems Engineer II in Bangalore",5,Work life balance Management is not bossy,There is a lot of work you do that is not part of your performance metrics and are expected to meet best of both worlds. Which is fair I think but couldn't think of any other con,Management
124,Great Company,"Jun 20, 2022 - Software Developer in Bangalore",5,Great Culture here Massive Growth. You get to learn too many things Good salary,Work pressure is too much,Culture
125,Working as Catalog Associate from past one year,"Jun 20, 2022 - Catalog Associate in Chennai",5,Flexible timings Perks Work from benefits Overtime allowance Leaves,None from my experience as of now,Technology
126,One of the best co to work,"Jun 20, 2022 - Senior Analyst in Bangalore",5,I have been part of amazon for 4 years and i had the most amazing time and great learning,Salary is low but apart from that Nothing,Technology
127,The best company to work which can offer actual work-life balance,"Jun 20, 2022 - WFM Analyst in Hyderābād",5,"Leadership hierarchy is Awesome, no BOSS environment",Some dept can be stagnant and pay is less when switched via IJPs. External hires are paid more then internal hires.,Management
128,Review,"Jun 20, 2022 - Data Associate in Chennai",5,"Awesome work place, Nice team members Comfortable place to work Good management Leaves",No internal movement across teams No other cons No career growth Shifts Often team change,Technology
129,Strictless work,"Jul 4, 2022 - Customer Service Representative in Coimbatore",4,*good work atmosphere * easy to work * supportive colleagues,* slow increase in salary * no new knowledge,Technology
130,Data Analyst,"Jul 4, 2022 - Research Analyst in Calcutta",4,"Inventory Control and Quality Assurance, Managing operations.","Too much work pressure, challenging.",Technology
131,Evaluation of transaction in Amazon marketplace,"Jul 4, 2022 - Transaction Risk Investigator in Bangalore",4,Easy work place and routine job,Not much upward growth. Job gets boring,Technology
132,Amazon Job,"Jul 4, 2022 - Quality Assurance Engineer in Gurgaon, Haryana",4,"Good salary, Learning and growth Culture",There is no specific Timing for work,Culture
133,3d qa,"Jul 5, 2022 - 3D QA Artist in Hyderābād",2,Pay is good but nothing extraordinary .,"Extremely boring job ,and no way to grow professionally",Technology
134,Not employer friendly,"Jul 5, 2022 - Transactional Risk Investigator in Hyderābād",2,"Good perks Good employee benefits Good diversity, nothing much else to say","Too much work with very low reprieve throughout the year for very less salary , too easy terminations messed up and toxic work culture, if you are working as a transactional investigation specialist only two defects in month and they will throw you into the plan hampering your career growth for six months.dont join this if you are looking to find something better",Technology
135,Overall,"Jun 19, 2022 - CSA - Customer Service Associate in Calcutta",5,"Comfortable timing , average salary , all facilities available","Too many compliances , outsiders get very few chances",Technology
136,Company Review,"Jun 19, 2022 - Manager - Risk Management in Bangalore",5,"Great place, good stakeholders connect, free goodies","Long hours of work, frequent manager movements",Technology
137,Amazing place to work,"Jun 19, 2022 - SDE-2 in Hyderābād",5,Got to work on some really tough problems. Very talented and helpful teammates,Lot of work and sometimes painful on-calls,Technology
138,Good place to work,"Jul 3, 2022 - Associate Vendor Manager in Bangalore",3,High work to be enjoyed with lots of metrics,no work life balance here,Culture
139,Work Pressure,"Jul 3, 2022 - Software Developer II in Bangalore",3,Good compensation and fast learning,Less time to deliver lot of results. Lot of maintenance work apart from project work.,Technology
140,Good,"Jun 18, 2022 - Transaction Risk Investigator in Bangalore",5,Environment and work life management,Salary is not that good,Management
141,Nice Company,"Jun 18, 2022 - Central Ops Support Executive in Bangalore",5,All leaders are very professional,Rotaional shift become headache for sometime,Culture
142,Great company to work at,"Jun 18, 2022 - Business Operations Associate in New Delhi",5,"Great place to work at, good management, remote working.",No learning and monotonous work.,Management
143,Job experience and worklife balance,"Jun 18, 2022 - Quality Analyst in Chennai",5,Everything is good till now,No cons to mention everything is okay for me.,Culture
144,Great Working Culture,"Jun 18, 2022 - Marketing Manager in Bangalore",5,"One of the best places to work with a lot of opportunity to learn, upskill and grow.",A bit stressful for India Consumer Business team due to multiple events happening almost every month,Management
145,Awesome culture,"Jun 18, 2022 - Software Development Engineer (SDE1) in Gurgaon, Haryana",5,everything is best here at work,nothing which i can think off,Culture
146,Recruiter at Amazon,"Jun 18, 2022 - Technical Recruiting Coordinator in Hyderābād",5,Great place to learn and grow your career.,There is no downside to working in Amazon.,Culture
147,Review just to get in glassdoor,"Jul 1, 2022 - Software Development Engineer (SDE1) in Gurgaon, Haryana",4,Good work and great projects,There are absolutely no downsides just great work,Technology
148,Amazon,"Jul 3, 2022 - Software Development Engineer (SDE) in Bangalore",2,Salary is good from fresher level itself.,No work life balance . Less Job security.,Management
149,Great perks,"Jun 16, 2022 - SDM II in Bangalore",5,Time flexibility for every employees,No cons from my side,Culture
150,Working Feel at Amz,"Jun 17, 2022 - Pathways Operations Manager in Mumbai",5,Great learning environment Active people collaboration Opportunities to grow fast Be a leader at your level,Demanding work cycle which requires employees to work on the balancing aspect,Management
151,Best place for career opportunities,"Jun 17, 2022 - Senior, Operation Executive in Bangalore",5,Well organized with leadership principles,Payscale could have been given atleast 6.5L PA for a 7yrs experience candidate.,Management
152,Amazing,"Jun 17, 2022 - Customer Service Representative in Calcutta",5,The work culture is brilliant here,Management sometimes act as selfish,Management
153,Scheduling,"Jun 17, 2022 - Scheduling Analyst in Bangalore",5,Good learning opportunities work environment autonomy to make decisions,salary raise and medical facilities,Management
154,Good place to work,"Jul 1, 2022 - Associate in Bangalore",4,Good salary. Work life balance maintained.,Slow growth. No skill development,Management
155,Good workplace,"Jul 1, 2022 - Transaction Risk Investigator (TRMS) in Hyderābād",4,Quality life Great benefits No micro managing,Shift timings Work load Overall Slow Growth,Culture
156,Great Company to work in,"Jul 1, 2022 - RC Associate in Hyderābād",4,#NAME?,- there used to be a manager change every dew months which made it difficult to build long term meaningful relationships - job gets monotonous if you don't take up other work related activities - narrow margin to get promoted & advance to the next role up the hierarchy.,Technology
157,AVSC Full time,"Jun 15, 2022 - AvSC in Bangalore",5,"Team work, Work life balance, WFH",Everything is good as per Procedure,Technology
158,Senior testing associate,"Jun 15, 2022 - Senior Testing Associate in Chennai",5,"Can learn a lot Good salary package, perks and bonus good work environment",No work life balance No promo or any big hike,Management
159,Good,"Jun 15, 2022 - Software Engineer II SDE2 in Bangalore",5,Good company to work with,Nothing as such as of now,Culture
160,Awesome culture,"Jun 16, 2022 - Program Manager in Pune",5,"Friendly culture, Lots of learning",I didn't find any cons yet,Culture
161,Data associate,"Jun 16, 2022 - ML Data Associate in Chennai",5,Excellent work culture Good work life balance Less politics,Till now i haven't faced any cons,Culture
162,Nothing,"Jun 16, 2022 - Senior Catalogue Associate in Chennai",5,Work life balance with great opportunities,"I don't have any bad experience ,everything's good",Culture
