,id,title,author_info,rating,pros,cons,Date,Location,Status
12,12,Employee Centric and Plenty of Opportunities to Learn and Grow,"Jul 5, 2022 - Manager in Hyderābād",5,It's been nearly 3 months that I've joined Amazon and my experience has been enriching. Previously I have worked three companies and I can see the explicit different why Amazon is the best company when it comes to taking care of their employees as well as customers. Amazon offers exceptional flexibility to all of it's employees and treat every one fairly. Expectations are always clear from all levels and one needs to focus on job at hand and deliver exceptional results.,"No one is perfect, so does Amazon. However, Amazon acknowledges this publicly and strives to achieve operational excellence and deliver value to it's employees, customers, sellers, developers and suppliers.","Jul 5, 2022 ",Hyderābād, Manager
13,13,Good,"Jul 5, 2022 - Senior Investigation Specialist in Bangalore",5,It’s a Good working environment,No cons noted in particular.,"Jul 5, 2022 ",Bangalore, Senior Investigation Specialist
14,14,Amazing,"Jul 5, 2022 - Listing Specialist in Hyderābād",5,Ability to learn new things Inclusive work environment Helpful collegues Good Work Culture Provides lot of benefits,Sometimes little bit stressful as you might have to work extra for not getting OTA.,"Jul 5, 2022 ",Hyderābād, Listing Specialist
15,15,Na,"Jul 5, 2022 - Senior Associate in Bangalore",5,Good and ethical environment to work,Micro management is the worse case,"Jul 5, 2022 ",Bangalore, Senior Associate
16,16,Nothing,"Jul 5, 2022 - Senior Customer Service Representative in Noida",5,It has amazing work life balance,Salary is a little less,"Jul 5, 2022 ",Noida, Senior Customer Service Representative
17,17,Selling Partner Support,"Jul 5, 2022 - Selling Partner Support in Calcutta",5,Excellent work life balance Friendly Room to grow,Strict Performance based evaluation Too much emphasis on metrics,"Jul 5, 2022 ",Calcutta, Selling Partner Support
18,18,Base salary,"Jul 5, 2022 - Software Development Engineer (SDE1) in Gurgaon, Haryana",5,Great ambiance to work in and with great people.,Too much work be careful before joining,"Jul 5, 2022 ","Gurgaon, Haryana", Software Development Engineer (SDE1)
19,19,Great place to work,"Jul 3, 2022 - Transportation Specialist in New Delhi",5,You get oprtunity to work on global networks,work pressure is quite high,"Jul 3, 2022 ",New Delhi, Transportation Specialist
20,20,Superb company,"Jul 4, 2022 - SDS Associate in Hyderābād",5,Great place to work and develop skills,Some pressure on peak time but great company to work,"Jul 4, 2022 ",Hyderābād, SDS Associate
21,21,Good work place,"Jul 4, 2022 - Human Resources Assistant in Bangalore",5,The best place to work,As of now nothing to tell,"Jul 4, 2022 ",Bangalore, Human Resources Assistant
22,22,Dceo,"Jul 4, 2022 - DCEO ( EOT) in Navi Mumbai",5,"Good, Good ,good atmosphere, healthy atmosphere,good opportunities","Field work, good experience, life work balanced, loving people","Jul 4, 2022 ",Navi Mumbai, DCEO ( EOT)
23,23,Happy to be an employee in Amazon,"Jul 4, 2022 - Selling Partner Support Associate in Hyderābād",5,"Happy to be an employee in Amazon. It's a dream job to work in this company. Hike, bonus, leaders and culture is a positive thing in Amazon.",Nothing experienced as of now.,"Jul 4, 2022 ",Hyderābād, Selling Partner Support Associate
24,24,Great place to work,"Jul 4, 2022 - Solution Architect Manager in Bangalore",5,"Leadership Principles, Good compensation, Inclusive culture",Nothing really! It's a great place to work.,"Jul 4, 2022 ",Bangalore, Solution Architect Manager
25,25,Good to work,"Jul 4, 2022 - Automation Analyst in Bangalore",5,Flexible shifts and good work place,Management is at it worst,"Jul 4, 2022 ",Bangalore, Automation Analyst
26,26,Best workplace,"Jun 30, 2022 - Catalogue Specialist in Hyderābād",5,"Best work environment, Work life balance",No concept of overtime and it's bonus.,"Jun 30, 2022 ",Hyderābād, Catalogue Specialist
27,27,excellent,"Jul 3, 2022 - in Ongole",5,i love to work with amozon,i have ability to work,"Jul 3, 2022 ",Ongole,
28,28,AWSeome place to work,"Jul 3, 2022 - Account Manager in New Delhi",5,#NAME?,#NAME?,"Jul 3, 2022 ",New Delhi, Account Manager
29,29,Good,"Jul 3, 2022 - Instructional Designer in Bangalore",5,Good place to and grow here. Everyone gets equal opportunity.,Nothing as of now that I can think of.,"Jul 3, 2022 ",Bangalore, Instructional Designer
30,30,Great place to work,"Jul 3, 2022 - Manager-1 in Hyderābād",5,Compensation and benefits are excellent,Follow strict performance management policies,"Jul 3, 2022 ",Hydrabad, Manager-1
31,31,analyst,"Jul 3, 2022 - Project Manager in Mumbai",5,salary skills are the benefits,competition is must in big companies,"Jul 3, 2022 ",Mumbai, Project Manager
32,32,Amazon Pay India is a great place to work,"Jul 3, 2022 - Anonymous Employee in Bangalore",5,"Work only during India business hours Co-located with business, tech and leadership teams Tech systems built ground up Lot of scope for innovation",Regulatory headwinds in the payments space could churn the priorities but is also an opportunity to innovate,"Jul 3, 2022 ",Bangalore, Anonymous Employee
33,33,nil,"Jul 2, 2022 - Transaction Risk Investigator in Bangalore",5,work culture is superb and associates are very friendly and helpful.,sometimes the shift changes and process changes. But that is in some rare situation it will be a issue.,"Jul 2, 2022 ",Bangalore, Transaction Risk Investigator
34,34,Best company to work!,"Jul 2, 2022 - SDE 1 in Gurgaon, Haryana",5,Good pay Work life balance Supportive managers Subsidised meals Flexible working hours,Sometimes become hectic to manage deadlines,"Jul 2, 2022 ","Gurgaon, Haryana", SDE 1
35,35,Great place to work,"Jul 2, 2022 - Project Manager in Bangalore",5,"Chance to execute your skills , learning & individual development, Growth",nothing as such i can see,"Jul 2, 2022 ",Bangalore, Project Manager
36,36,Working@Amazon,"Jul 1, 2022 - Manager in Hyderābād",5,"There is no place to work like Amazon. Its day1 always and you get to learn all the time. Learning experience is enriched. While speed matters, they give time for people to settle in the roles before implementing the KRA's. By implementing various initiatives the over all personality and acumen is shaped finely. Excited to be working here","Its an ocean. Unless we prioritize ruthlessly and have a laser focus,its very easy to feel lost.","Jul 1, 2022 ",Hyderābād, Manager
37,37,Content Reviewer,"Jul 1, 2022 - Content Moderator in Bangalore",5,"Good Management, Timely login and logout,",Salary is less comapared to L2,"Jul 1, 2022 ",Bangalore, Content Moderator
38,38,Amazon is a great company to work with.,"Jul 1, 2022 - Device Associate in Bangalore",5,Great Learning Opportunity for Freshers.,No Cons to share with.,"Jul 1, 2022 ",Bangalore, Device Associate
39,39,Good,"Jul 3, 2022 - Instructional Designer in Bangalore",5,Good place to and grow here. Everyone gets equal opportunity.,Nothing as of now that I can think of.,"Jul 3, 2022 ",Bangalore, Instructional Designer
40,40,Great place to work,"Jul 3, 2022 - Manager-1 in Hyderābād",5,Compensation and benefits are excellent,Follow strict performance management policies,"Jul 3, 2022 ",None, Manager
41,41,analyst,"Jul 3, 2022 - Project Manager in Mumbai",5,salary skills are the benefits,competition is must in big companies,"Jul 3, 2022 ",Mumbai, Project Manager
42,42,Amazon Pay India is a great place to work,"Jul 3, 2022 - Anonymous Employee in Bangalore",5,"Work only during India business hours Co-located with business, tech and leadership teams Tech systems built ground up Lot of scope for innovation",Regulatory headwinds in the payments space could churn the priorities but is also an opportunity to innovate,"Jul 3, 2022 ",Bangalore, Anonymous Employee
43,43,nil,"Jul 2, 2022 - Transaction Risk Investigator in Bangalore",5,work culture is superb and associates are very friendly and helpful.,sometimes the shift changes and process changes. But that is in some rare situation it will be a issue.,"Jul 2, 2022 ",Bangalore, Transaction Risk Investigator
44,44,Best company to work!,"Jul 2, 2022 - SDE 1 in Gurgaon, Haryana",5,Good pay Work life balance Supportive managers Subsidised meals Flexible working hours,Sometimes become hectic to manage deadlines,"Jul 2, 2022 ","Gurgaon, Haryana", SDE 1
45,45,Great place to work,"Jul 2, 2022 - Project Manager in Bangalore",5,"Chance to execute your skills , learning & individual development, Growth",nothing as such i can see,"Jul 2, 2022 ",Bangalore, Project Manager
46,46,Working@Amazon,"Jul 1, 2022 - Manager in Hyderābād",5,"There is no place to work like Amazon. Its day1 always and you get to learn all the time. Learning experience is enriched. While speed matters, they give time for people to settle in the roles before implementing the KRA's. By implementing various initiatives the over all personality and acumen is shaped finely. Excited to be working here","Its an ocean. Unless we prioritize ruthlessly and have a laser focus,its very easy to feel lost.","Jul 1, 2022 ",Hyderābād, Manager
47,47,Content Reviewer,"Jul 1, 2022 - Content Moderator in Bangalore",5,"Good Management, Timely login and logout,",Salary is less comapared to L2,"Jul 1, 2022 ",Bangalore, Content Moderator
48,48,Amazon is a great company to work with.,"Jul 1, 2022 - Device Associate in Bangalore",5,Great Learning Opportunity for Freshers.,No Cons to share with.,"Jul 1, 2022 ",Bangalore, Device Associate
49,49,Respect invidivual,"Jul 1, 2022 - Senior Compliance Associate in Zürich",5,"Its the best place to work, perfect balance between work and life. Also you feel very respected and valued in the company.",No Comments as of now. Its great working here.,"Jul 1, 2022 ",Zürich, Senior Compliance Associate
50,50,Amazing Place to Innovate,"Jul 1, 2022 - Senior Program Manager in Bangalore",5,"Great Place to work, learn and grow.",Very peculiar culture and hence it takes time to settle in.,"Jul 1, 2022 ",Bangalore, Senior Program Manager
51,51,Best workplace,"Jul 1, 2022 - Resolution Specialist in Pune",5,Salary on time Good perks Amazing management.always supportive,Night shifts is the only issue rest company perfect,"Jul 1, 2022 ",Pune, Resolution Specialist
52,52,good company,"Jul 1, 2022 - Quality Specialist in Hyderābād",5,"great work culture, perks, flexible timings, work life balance","no value of employee, no learning","Jul 1, 2022 ",Hyderābād, Quality Specialist
53,53,Good place to work,"Jul 1, 2022 - Anonymous Employee in Hyderābād",5,Very nice work culture in the office,Management are too micro managing,"Jul 1, 2022 ",Hyderābād, Anonymous Employee
54,54,Great,"Jul 1, 2022 - Fraud Analyst in Bangalore",5,Great company and a place to work. for,No Cons as such that I can think off,"Jul 1, 2022 ",Bangalore, Fraud Analyst
55,55,Excellent First 3 Months,"Jul 1, 2022 - Ops Manager in Bangalore",5,"I just completed my 3 months here in AWS Blr as Ops Manager - NetSec and it's a tremendous experience so far. In true sense the culture here is Peculiar. It's so vast, so dynamic, so fast paced and plenty of opportunities to learn and grow. In every nook and corner you will find someone who can amaze you and lot many things you can learn from that person. So, Day1 is going on and it will remain always.",So many things to grab at a moment and and it's definitely overwhelming at times.,"Jul 1, 2022 ",Bangalore, Ops Manager
56,56,refgyju,"Jul 1, 2022 - Senior Content Writer in Bangalore",5,very good company to work,no cons are there in this company,"Jul 1, 2022 ",Bangalore, Senior Content Writer
57,57,Great Place to work,"Jul 1, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,"Everything amazing, people, culture, campus",none none none none none,"Jul 1, 2022 ",Bangalore, Transaction Risk Investigator (TRMS)
58,58,Great Company,"Jul 1, 2022 - Transportation Specialist in Hyderābād",5,Jeff Bezos is amazing guy!!,No down sides to working for amazon,"Jul 1, 2022 ",Hyderābād, Transportation Specialist
59,59,A decent experience,"Jul 1, 2022 - Senior Associate in Pune",5,"Good exposure to different departments, Quick upskilling",Largely metric driven even if the required threshold is obtained,"Jul 1, 2022 ",Pune, Senior Associate
60,60,Good,"Jun 29, 2022 - SDE 1 in Bangalore",5,Money is good in amazon,The pressure is bad in amazon,"Jun 29, 2022 ",Bangalore, SDE 1
61,61,My experience in Amazon,"Jun 30, 2022 - Anonymous Employee in Hyderābād",5,Amazon is great place to make our career. I have received an over whelming welcome from my manager and other team members after joining. Everything is very much structured in this organization. The training program is very good. We have sufficient time to complete them. All the training programs have been made after detailed research. I can say that I am a proud Amazonian.,I hardly find any cons in Amazon.,"Jun 30, 2022 ",Hyderābād, Anonymous Employee
62,62,Copy paste job is nice,"Jun 30, 2022 - Anonymous Employee in Hyderābād",5,"Salary on time, and work is limited",Timing is some difficult For Employee.,"Jun 30, 2022 ",Hyderābād, Anonymous Employee
63,63,Great company,"Jun 30, 2022 - ML Data Associate II in New Delhi",5,Everything comes under pros in Amazon. I still miss this company and trying hard to get back into it,Sometimes internal politics and favouratism,"Jun 30, 2022 ",New Delhi, ML Data Associate II
64,64,Nothing,"Jun 30, 2022 - Customer Service Representative (CSR) in New Delhi",5,Very Good working environment at the company.,Sometimes it gets hectic to work.,"Jun 30, 2022 ",New Delhi, Customer Service Representative (CSR)
65,65,Great place to work,"Jun 30, 2022 - Senior Seller Support Associate in Bangalore",5,Option to work from home or office. Great work place culture,I haven't come accross any yet.,"Jun 30, 2022 ",Bangalore, Senior Seller Support Associate
66,66,Vcs amazon good for freshers,"Jun 30, 2022 - Amazon Vcs in Lucknow",5,Good atmosphere and trainers. Good perks and benefits.,I dont found any except the salary which is on a bit lower side.,"Jun 30, 2022 ",Lucknow, Amazon Vcs
67,67,Best place to nourish your career,"Jun 30, 2022 - Senior Associate in Bangalore Rural",5,Try to learn something everyday and keep growing.,Nothing for someone who can keep learning and exploring while staying focused on their day to day job.,"Jun 30, 2022 ",Bangalore Rural, Senior Associate
68,68,Very Good Company,"Jun 29, 2022 - Business Operations Specialist in Hyderābād",5,Good environment to start your work life,Nothing specifically as this is the best company I worked with.,"Jun 29, 2022 ",Hyderābād, Business Operations Specialist
69,69,Maintains quality and utilization,"Jun 28, 2022 - Catalog Associate in Hyderābād",5,"At Amazon we can find employee friendly behavior, so that's the main reason for me to join Amazon. Great benefits while working at Amazon.",I think there are no cons for working in Amazon.,"Jun 28, 2022 ",Hyderābād, Catalog Associate
70,70,Awesome and Amazing !!!,"Jun 28, 2022 - Seller Support Associate in Pune",5,"Working in the Amazon is very great experience, Not everything can be described in the words. All things are perfect and best here. We have all things here which are needed to work in company. The company has very great culture and very well work - life balance. Amazon provides many benefits and compensation. The company has very great Culture, Values, Diversity and Inclusion. Even the care for minor thing is taken here. It's really hard to describe everything in words.","Nothing at all, writing in cons because at least 5 words are required to written here.","Jun 28, 2022 ",Pune, Seller Support Associate
71,71,Best company,"Jun 28, 2022 - Software Development Engineer (SDE) in Hyderābād",5,friendly environment will get to learn new,i wouldnt say any from my side,"Jun 28, 2022 ",Hyderābād, Software Development Engineer (SDE)
72,72,Pay is very low,"Jun 28, 2022 - Anonymous Employee in Bangalore",5,No pressure Flexible timings and weekly offs,Less salary and career growth is bad,"Jun 28, 2022 ",Bangalore, Anonymous Employee
73,73,about the company,"Jun 28, 2022 - Quality Analyst in Chennai",5,"good environment, in my team really i have nice people who are all gives warm welcome to the new hires.",there are no such cons about Amazon.,"Jun 28, 2022 ",Chennai, Quality Analyst
74,74,Great workplace,"Jun 28, 2022 - in Hyderābād",5,Good benefits Good growth opportunities Great culture Decent Work-life balance,Sometimes work hours can be long but depends on situations.,"Jun 28, 2022 ",Hyderābād,
75,75,Have fun and work hard,"Jun 26, 2022 - Tron Associate in Hyderābād",5,"Friendly superiors, career growth and opportunities.",Salary structure isa bit below the average pay you can get working at competitor companies of Amazon.,"Jun 26, 2022 ",Hyderābād, Tron Associate
76,76,Great Company to Work,"Jun 27, 2022 - Associate Account Manager in Chennai",5,All great and happy to be prt of amazon,Nothing negative I found ever,"Jun 27, 2022 ",Chennai, Associate Account Manager
77,77,My Amazon Experience,"Jun 27, 2022 - Senior Technical Program Manager in Bangalore",5,Wonderful Company working based on leadership Principle. Structured way of working Good compensation Nice working environment,"I joined during pandemic time, so team bonding is challenging","Jun 27, 2022 ",Bangalore, Senior Technical Program Manager
78,78,"Senior Manager, Program Management Comp","Jun 27, 2022 - Senior Manager, Program Management in Chennai",5,"Flexibility to experiment, allows room to fail",At times focuses more on growth areas than strengths,"Jun 27, 2022 ",Chennai," Senior Manager, Program Management"
79,79,Risk investigator,"Jun 27, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,Best company to work for,Very difficult to extend your career in BRI,"Jun 27, 2022 ",Bangalore, Transaction Risk Investigator (TRMS)
80,80,Amazing place to work,"Jun 26, 2022 - Senior User Experience Designer in Bangalore",5,If you don’t fit well with your team. You can always move to other teams until you find you place. It’s a great place to work. A place we’re customers are valued and not betrayed. A place were you can finish work and go to sleep without hurting.,Teams are very different from each other. It’s important to find the courage to walk away if the team’s working culture doesn’t impress you. There are always more teams that wants you.,"Jun 26, 2022 ",Bangalore, Senior User Experience Designer
81,81,Company culture and Carrier growth,"Jun 24, 2022 - Software Development Engineer -1 in Chennai",5,"1. Amazon is a great place to work for! You will get a lot to learn and if you are an enthusiast in problem solving then Amazon is a right place for you. 2. Peers are helpful in unblocking you from facing hurdles initially and when days go by, you will be mentored to unblock yourself on your own. 3. You will feel included in the team and your voice/ideas is always heard by people as Amazon considers employees as their super-powers. 4. Amazon is an open place where you can explore whichever carrier opportunity you want to choose/ whichever technology you want to work on.","1. Amazon basically follows a start-up culture, hence in few teams the processes are not streamlined though. Yet, you will be regularly asked about the issues you faced as a new joiner/employee and people will definitely look-up for ways to fix streamlining the process.","Jun 24, 2022 ",None, Software Development Engineer 
82,82,Best company any employee could ask for,"Jun 25, 2022 - Business Operations Specialist in Hyderābād",5,1.Great teammates. 2.Great work culture. 3.Lots of opportunities and challenges.,Couldn't find any as of now.,"Jun 25, 2022 ",Hyderābād, Business Operations Specialist
83,83,Amazon Experience,"Jun 24, 2022 - Tech Analyst II in Bangalore",5,"They are very caring of their employees, very flexible schedules, great pay, smart folks so you are gonna learn a lot, ample opportunities, lots of fun and work life balance. They stand by their core values. It always Day 1 and just ""Work hard, Have fun, Make history""",I did not have any cons for this company yet,"Jun 24, 2022 ",Bangalore, Tech Analyst II
84,84,Amazing Work Experience and Exposure,"Jun 24, 2022 - Sps Associate in Chennai",5,"Cool Environment, Diversity and Great Campus",Work-Life balance is quite tough,"Jun 24, 2022 ",Chennai, Sps Associate
85,85,Nice,"Jun 24, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",5,Best company as pay is good,"so much work load, not good","Jun 24, 2022 ","Gurgaon, Haryana", Software Development Engineer (SDE)
86,86,Good company,"Jul 7, 2022 - Software Engineer in Indi, Karnataka",4,#NAME?,#NAME?,"Jul 7, 2022 ","Indi, Karnataka", Software Engineer
87,87,Great work life balance,"Jul 8, 2022 - Customer Service Associate in Coimbatore",4,"Great Worklife balance with Appreciation. Best Leave Policy, Gift cards",Too much of calls during sale,"Jul 8, 2022 ",Coimbatore, Customer Service Associate
88,88,Great experience,"Jun 23, 2022 - Associate Recruiting Systems in Hyderābād",5,"The company makes you feel included. It is easy to reach out to people, and management helps you as much as possible.",Long working hours. Difficult to maintain work life balance,"Jun 23, 2022 ",Hyderābād, Associate Recruiting Systems
89,89,Great place to work,"Jun 23, 2022 - M L Data Associate in Noida",5,One of the great organisation to work for with lots of perks.,As such there are No Cons,"Jun 23, 2022 ",Noida, M L Data Associate
90,90,Good Place,"Jul 6, 2022 - VCS Customer Service Representative in New Delhi",4,"Good place to start your career in customer service, nice culture, ample amount of leaves","Nothing much to learn, repetitive work, less pay","Jul 6, 2022 ",New Delhi, VCS Customer Service Representative
91,91,Best place to work,"Jul 7, 2022 - Associate in Hyderābād",4,Very Friendly environment for working,Pressure could have been lil less.,"Jul 7, 2022 ",Hyderābād, Associate
92,92,Awesome Place to learn & grow in tech domain,"Jul 7, 2022 - Program Manager in Hyderābād",4,#NAME?,#NAME?,"Jul 7, 2022 ",Hyderābād, Program Manager
93,93,Management,"Jul 7, 2022 - Senior 3D Artist in Hyderābād",4,Nice place to work leads are more supportive,management keep on changing pipelines,"Jul 7, 2022 ",Hyderābād, Senior 3D Artist
94,94,Join at your own risk,"Jul 8, 2022 - Software Engineer II SDE2 in Bangalore",2,You get to learn a lot.,"Toxic culture, no WLB, Leaders are not very strong technically.","Jul 8, 2022 ",Bangalore, Software Engineer II SDE2
95,95,Ok,"Jul 7, 2022 - Senior Technical Program Manager in Hyderābād",3,Leadership principles are great to see and implement. Very high standards.,Management does not provide freedom to choose work. Some managers are fearful to take risk and self oriented then people oriented.,"Jul 7, 2022 ",Hyderābād, Senior Technical Program Manager
96,96,"Good, but can be better!","Jun 22, 2022 - Investigation Specialist in Hyderābād",5,Not much of a workload. The work is very easy. Multiple workarounds to issues.,Rotational shifts are bad. Can't really plan anything. Pay is very compared to other companies,"Jun 22, 2022 ",Hyderābād, Investigation Specialist
97,97,Good,"Jun 22, 2022 - Quality Specialist in Hyderābād",5,"Benefits, good salary structure, increment, good working culture","career growth, strict timing, nothing else","Jun 22, 2022 ",Hyderābād, Quality Specialist
98,98,Working Experience,"Jun 22, 2022 - Software Development Engineer in Bangalore",5,#NAME?,#NAME?,"Jun 22, 2022 ",Bangalore, Software Development Engineer
99,99,Nothing,"Jun 22, 2022 - ML Data Associate-1 in Hyderābād",5,"very good work culture, environment and people.",none so far. one of the best companies,"Jun 22, 2022 ",None, ML Data Associate
100,100,Working Environment,"Jun 22, 2022 - Technical Support Engineer in Chennai",5,"Work culture, work life balance, Healthy management",No Cons to mention here,"Jun 22, 2022 ",Chennai, Technical Support Engineer
101,101,Great Place to work,"Jun 22, 2022 - Qualiity Analyst in Bangalore",5,Supportive manager and colleagues. Benefits. General shift. Ample training before you start off.,Average Pay Scale Low basic Pay,"Jun 22, 2022 ",Bangalore, Qualiity Analyst
102,102,Application Support Engineer,"Jun 22, 2022 - Application Support Engineer in Bangalore",5,Both Development and Support related tasks are there.,there is nothing i could mention,"Jun 22, 2022 ",Bangalore, Application Support Engineer
103,103,Seeseeking role in Data analytics and Business Intelligence with an esteem organization,"Jul 5, 2022 - Data Analytics in Bangalore",4,Work Culture and leave policy,Salary is low as per industrial standard,"Jul 5, 2022 ",Bangalore, Data Analytics
104,104,Great culture to work,"Jul 6, 2022 - CSA - Customer Service Associate in Pune",4,Benefits and work culture is best.,"Growth is not fast, many conditions to meet if you want to grow in carreer","Jul 6, 2022 ",None,CSA - Customer Service Associate
105,105,Culture varies from team to team,"Jul 6, 2022 - Software Development Engineer II in Hyderābād",4,1. A lots of learning opportunities 2. Very smart colleagues 3. Good Pay,1. Work load depends on your team 2. Politics,"Jul 6, 2022 ",Hyderābād, Software Development Engineer II
106,106,Good,"Jul 6, 2022 - Customer Service Representative in New Delhi",4,Good work environment Friendly team and managers,Pay is very less as compared to the other competition,"Jul 6, 2022 ",New Delhi, Customer Service Representative
107,107,Good place for freshers,"Jul 6, 2022 - Machine Learning Data Associate I in Hyderābād",4,1. No work pressure 2. Good Environment,1. Slow growth 2. Average pay,"Jul 6, 2022 ",Hyderābād, Machine Learning Data Associate I
108,108,Review ads for various markeplaces,"Jul 6, 2022 - Content Reviewer in Bangalore",4,Best career growth in Amazon,The work timings are a bit off,"Jul 6, 2022 ",Bangalore, Content Reviewer
109,109,Good for Career Growth but less facilities for employees,"Jul 6, 2022 - SDE-2 in Hyderābād",3,"1. Good career growth opportunities 2. If you work, promotions are fast 3. Facilities for employees less compared to other FAANG companies",1. Some teams are too OE intensive causing burnout in employees 2. On-call is heavy in certain cases and disturbs mental peace.,"Jul 6, 2022 ",None, SDE
110,110,Good,"Jul 6, 2022 - Team Lead in Calcutta",3,Management is good here at Amazon,Work life balance is not good,"Jul 6, 2022 ",Calcutta, Team Lead
111,111,Salary for Catalog Associate,"Jul 6, 2022 - Catalog Associate in Chennai",3,The allowances provided are ok,Not much growth for this designation,"Jul 6, 2022 ",Chennai, Catalog Associate
112,112,Decent role and good pay,"Jun 21, 2022 - Quality Auditor in Bangalore",5,"Good work life balance, Individual contributor","No cons as such, just missing out on going to the office","Jun 21, 2022 ",Bangalore, Quality Auditor
113,113,Company review,"Jun 21, 2022 - Device Associate/Test Engineer in Chennai",5,Best place to work and learn new technologies,There is no cons about amazon,"Jun 21, 2022 ",Chennai, Device Associate/Test Engineer
114,114,Amazing place to work,"Jun 21, 2022 - Senior Customer Care Representative in Hyderābād",5,Streamlined Benefits for medical and covid Friendly environment Beautiful offices Opportunities,Bonus & incentives stopped No increase in Sodexo Customer care employees are treated badly as In employee who work for tron or roc,"Jun 21, 2022 ",Hyderābād, Senior Customer Care Representative
115,115,Best place to work,"Jun 21, 2022 - Catalog Specialist in Hyderābād",5,"Good work life balance, no Raitational shift or weekoffs",Have to do Monotonous work,"Jun 21, 2022 ",Hyderābād, Catalog Specialist
116,116,Very good benefits,"Jun 21, 2022 - D2AS ASSOCIATE in Hyderābād",5,They pay more than your ctc,Monotonous work. Nothing specific otherwise,"Jun 21, 2022 ",Hyderābād, D2AS ASSOCIATE
117,117,CSA review,"Jun 21, 2022 - CSA - Customer Service Associate in Calcutta",5,Great Team Lovely work environment Awards and recognition Leaves and overtime benefits,Repetitive task Work load Work from home,"Jun 21, 2022 ",None, CSA 
118,118,Great,"Jun 21, 2022 - ML Associate in Chennai",5,Everything good All facilities Good place,Na Not applicable Not any,"Jun 21, 2022 ",Chennai, ML Associate
119,119,Good place to work - as long as you're part of global teams,"Jul 5, 2022 - Program Manager in Bangalore",4,"Good culture, Good RSU options. As long as your manager is good you will grow","IN business team is like a start up, no work life balance","Jul 5, 2022 ",Bangalore, Program Manager
120,120,Good,"Jul 5, 2022 - Customer Service Representative in Hyderābād",4,Work environment pay Management and leadership Food Allowances,Rotational shifts slow growth not enough work knowledge transfer work during peak season managemnent,"Jul 5, 2022 ",Hyderābād, Customer Service Representative
121,121,good place to work,"Jul 5, 2022 - Process Associate in Pune",4,good work culture. no rush or target. you can be good Team player.,growth is slow. you may feel rush sometimes. shift schedule changes after every 90days,"Jul 5, 2022 ",Pune, Process Associate
122,122,Not good,"Jul 5, 2022 - Software Engineer in Bangalore",3,Good perks Good learning in some projects,Management needs to be improved,"Jul 5, 2022 ",Bangalore, Software Engineer
