,Unnamed: 0,title,author_info,rating,pros,cons
10,10,Overall great,"Jul 5, 2022 - Software Development Engineer in Bangalore",5,"['good', 'working', 'environment', 'best', 'work', 'life', 'balance']","['problems', 'call', 'support']"
11,11,Great company to work,"Jul 5, 2022 - Software Engineer in Mumbai",5,"['work', 'culture', 'supportive', 'manager', 'perks', 'great', 'tech', 'stack']","['nothing', 'needs', 'mention']"
12,12,Employee Centric and Plenty of Opportunities to Learn and Grow,"Jul 5, 2022 - Manager in Hyderābād",5,"['nearly', 'months', 'joined', 'amazon', 'experience', 'enriching', 'previously', 'worked', 'three', 'companies', 'see', 'explicit', 'different', 'best', 'company', 'comes', 'taking', 'care', 'employees', 'well', 'customers', 'offers', 'exceptional', 'flexibility', 'treat', 'every', 'one', 'fairly', 'expectations', 'always', 'clear', 'levels', 'needs', 'focus', 'job', 'hand', 'deliver', 'results']","['one', 'perfect', 'amazon', 'however', 'acknowledges', 'publicly', 'strives', 'achieve', 'operational', 'excellence', 'deliver', 'value', 'employees', 'customers', 'sellers', 'developers', 'suppliers']"
13,13,Good,"Jul 5, 2022 - Senior Investigation Specialist in Bangalore",5,"['good', 'working', 'environment']","['cons', 'noted', 'particular']"
14,14,Amazing,"Jul 5, 2022 - Listing Specialist in Hyderābād",5,"['ability', 'learn', 'new', 'things', 'inclusive', 'work', 'environment', 'helpful', 'collegues', 'good', 'culture', 'provides', 'lot', 'benefits']","['sometimes', 'little', 'bit', 'stressful', 'might', 'work', 'extra', 'getting', 'ota']"
15,15,Na,"Jul 5, 2022 - Senior Associate in Bangalore",5,"['good', 'ethical', 'environment', 'work']","['micro', 'management', 'worse', 'case']"
16,16,,"Jul 5, 2022 - Senior Customer Service Representative in Noida",5,"['amazing', 'work', 'life', 'balance']","['salary', 'little', 'less']"
17,17,Selling Partner Support,"Jul 5, 2022 - Selling Partner Support in Calcutta",5,"['excellent', 'work', 'life', 'balance', 'friendly', 'room', 'grow']","['strict', 'performance', 'based', 'evaluation', 'much', 'emphasis', 'metrics']"
18,18,Base salary,"Jul 5, 2022 - Software Development Engineer (SDE1) in Gurgaon, Haryana",5,"['great', 'ambiance', 'work', 'people']","['much', 'work', 'careful', 'joining']"
19,19,Great place to work,"Jul 3, 2022 - Transportation Specialist in New Delhi",5,"['get', 'oprtunity', 'work', 'global', 'networks']","['work', 'pressure', 'quite', 'high']"
20,20,Superb company,"Jul 4, 2022 - SDS Associate in Hyderābād",5,"['great', 'place', 'work', 'develop', 'skills']","['pressure', 'peak', 'time', 'great', 'company', 'work']"
21,21,Good work place,"Jul 4, 2022 - Human Resources Assistant in Bangalore",5,"['best', 'place', 'work']","['nothing', 'tell']"
22,22,Dceo,"Jul 4, 2022 - DCEO ( EOT) in Navi Mumbai",5,"['good', 'atmosphere', 'healthy', 'opportunities']","['field', 'work', 'good', 'experience', 'life', 'balanced', 'loving', 'people']"
23,23,Happy to be an employee in Amazon,"Jul 4, 2022 - Selling Partner Support Associate in Hyderābād",5,"['happy', 'employee', 'amazon', 'dream', 'job', 'work', 'company', 'hike', 'bonus', 'leaders', 'culture', 'positive', 'thing']","['nothing', 'experienced']"
24,24,Great place to work,"Jul 4, 2022 - Solution Architect Manager in Bangalore",5,"['leadership', 'principles', 'good', 'compensation', 'inclusive', 'culture']","['nothing', 'really', 'great', 'place', 'work']"
25,25,Good to work,"Jul 4, 2022 - Automation Analyst in Bangalore",5,"['flexible', 'shifts', 'good', 'work', 'place']","['management', 'worst']"
26,26,Best workplace,"Jun 30, 2022 - Catalogue Specialist in Hyderābād",5,"['best', 'work', 'environment', 'life', 'balance']","['concept', 'overtime', 'bonus']"
27,27,excellent,"Jul 3, 2022 - in Ongole",5,"['love', 'work', 'amozon']","['ability', 'work']"
28,28,AWSeome place to work,"Jul 3, 2022 - Account Manager in New Delhi",5,['name'],['name']
29,29,Good,"Jul 3, 2022 - Instructional Designer in Bangalore",5,"['good', 'place', 'grow', 'everyone', 'gets', 'equal', 'opportunity']","['nothing', 'think']"
30,30,Great place to work,"Jul 3, 2022 - Manager-1 in Hyderābād",5,"['compensation', 'benefits', 'excellent']","['follow', 'strict', 'performance', 'management', 'policies']"
31,31,analyst,"Jul 3, 2022 - Project Manager in Mumbai",5,"['salary', 'skills', 'benefits']","['competition', 'must', 'big', 'companies']"
32,32,Amazon Pay India is a great place to work,"Jul 3, 2022 - Anonymous Employee in Bangalore",5,"['work', 'india', 'business', 'hours', 'tech', 'leadership', 'teams', 'systems', 'built', 'ground', 'lot', 'scope', 'innovation']","['regulatory', 'headwinds', 'payments', 'space', 'could', 'churn', 'priorities', 'also', 'opportunity', 'innovate']"
33,33,nil,"Jul 2, 2022 - Transaction Risk Investigator in Bangalore",5,"['work', 'culture', 'superb', 'associates', 'friendly', 'helpful']","['sometimes', 'shift', 'changes', 'process', 'rare', 'situation', 'issue']"
34,34,Best company to work!,"Jul 2, 2022 - SDE 1 in Gurgaon, Haryana",5,"['good', 'pay', 'work', 'life', 'balance', 'supportive', 'managers', 'subsidised', 'meals', 'flexible', 'working', 'hours']","['sometimes', 'become', 'hectic', 'manage', 'deadlines']"
35,35,Great place to work,"Jul 2, 2022 - Project Manager in Bangalore",5,"['chance', 'execute', 'skills', 'learning', 'individual', 'development', 'growth']","['nothing', 'see']"
36,36,Working@Amazon,"Jul 1, 2022 - Manager in Hyderābād",5,"['place', 'work', 'like', 'amazon', 'always', 'get', 'learn', 'time', 'learning', 'experience', 'enriched', 'speed', 'matters', 'give', 'people', 'settle', 'roles', 'implementing', 'kra', 'various', 'initiatives', 'personality', 'acumen', 'shaped', 'finely', 'excited', 'working']","['ocean', 'unless', 'prioritize', 'ruthlessly', 'laser', 'focus', 'easy', 'feel', 'lost']"
37,37,Content Reviewer,"Jul 1, 2022 - Content Moderator in Bangalore",5,"['good', 'management', 'timely', 'login', 'logout']","['salary', 'less', 'comapared']"
38,38,Amazon is a great company to work with.,"Jul 1, 2022 - Device Associate in Bangalore",5,"['great', 'learning', 'opportunity', 'freshers']","['cons', 'share']"
39,39,Good,"Jul 3, 2022 - Instructional Designer in Bangalore",5,"['good', 'place', 'grow', 'everyone', 'gets', 'equal', 'opportunity']","['nothing', 'think']"
40,40,Great place to work,"Jul 3, 2022 - Manager-1 in Hyderābād",5,"['compensation', 'benefits', 'excellent']","['follow', 'strict', 'performance', 'management', 'policies']"
41,41,analyst,"Jul 3, 2022 - Project Manager in Mumbai",5,"['salary', 'skills', 'benefits']","['competition', 'must', 'big', 'companies']"
42,42,Amazon Pay India is a great place to work,"Jul 3, 2022 - Anonymous Employee in Bangalore",5,"['work', 'india', 'business', 'hours', 'tech', 'leadership', 'teams', 'systems', 'built', 'ground', 'lot', 'scope', 'innovation']","['regulatory', 'headwinds', 'payments', 'space', 'could', 'churn', 'priorities', 'also', 'opportunity', 'innovate']"
43,43,nil,"Jul 2, 2022 - Transaction Risk Investigator in Bangalore",5,"['work', 'culture', 'superb', 'associates', 'friendly', 'helpful']","['sometimes', 'shift', 'changes', 'process', 'rare', 'situation', 'issue']"
44,44,Best company to work!,"Jul 2, 2022 - SDE 1 in Gurgaon, Haryana",5,"['good', 'pay', 'work', 'life', 'balance', 'supportive', 'managers', 'subsidised', 'meals', 'flexible', 'working', 'hours']","['sometimes', 'become', 'hectic', 'manage', 'deadlines']"
45,45,Great place to work,"Jul 2, 2022 - Project Manager in Bangalore",5,"['chance', 'execute', 'skills', 'learning', 'individual', 'development', 'growth']","['nothing', 'see']"
46,46,Working@Amazon,"Jul 1, 2022 - Manager in Hyderābād",5,"['place', 'work', 'like', 'amazon', 'always', 'get', 'learn', 'time', 'learning', 'experience', 'enriched', 'speed', 'matters', 'give', 'people', 'settle', 'roles', 'implementing', 'kra', 'various', 'initiatives', 'personality', 'acumen', 'shaped', 'finely', 'excited', 'working']","['ocean', 'unless', 'prioritize', 'ruthlessly', 'laser', 'focus', 'easy', 'feel', 'lost']"
47,47,Content Reviewer,"Jul 1, 2022 - Content Moderator in Bangalore",5,"['good', 'management', 'timely', 'login', 'logout']","['salary', 'less', 'comapared']"
48,48,Amazon is a great company to work with.,"Jul 1, 2022 - Device Associate in Bangalore",5,"['great', 'learning', 'opportunity', 'freshers']","['cons', 'share']"
49,49,Respect invidivual,"Jul 1, 2022 - Senior Compliance Associate in Zürich",5,"['best', 'place', 'work', 'perfect', 'balance', 'life', 'also', 'feel', 'respected', 'valued', 'company']","['comments', 'great', 'working']"
50,50,Amazing Place to Innovate,"Jul 1, 2022 - Senior Program Manager in Bangalore",5,"['great', 'place', 'work', 'learn', 'grow']","['peculiar', 'culture', 'hence', 'takes', 'time', 'settle']"
51,51,Best workplace,"Jul 1, 2022 - Resolution Specialist in Pune",5,"['salary', 'time', 'good', 'perks', 'amazing', 'supportive']","['night', 'shifts', 'issue', 'rest', 'company', 'perfect']"
52,52,good company,"Jul 1, 2022 - Quality Specialist in Hyderābād",5,"['great', 'work', 'culture', 'perks', 'flexible', 'timings', 'life', 'balance']","['value', 'employee', 'learning']"
53,53,Good place to work,"Jul 1, 2022 - Anonymous Employee in Hyderābād",5,"['nice', 'work', 'culture', 'office']","['management', 'micro', 'managing']"
54,54,Great,"Jul 1, 2022 - Fraud Analyst in Bangalore",5,"['great', 'company', 'place', 'work']","['cons', 'think']"
55,55,Excellent First 3 Months,"Jul 1, 2022 - Ops Manager in Bangalore",5,"['completed', 'months', 'aws', 'blr', 'ops', 'manager', 'netsec', 'tremendous', 'experience', 'far', 'true', 'sense', 'culture', 'peculiar', 'vast', 'dynamic', 'fast', 'paced', 'plenty', 'opportunities', 'learn', 'grow', 'every', 'nook', 'corner', 'find', 'someone', 'amaze', 'lot', 'many', 'things', 'person', 'going', 'remain', 'always']","['many', 'things', 'grab', 'moment', 'definitely', 'overwhelming', 'times']"
56,56,refgyju,"Jul 1, 2022 - Senior Content Writer in Bangalore",5,"['good', 'company', 'work']","['cons', 'company']"
57,57,Great Place to work,"Jul 1, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,"['everything', 'amazing', 'people', 'culture', 'campus']",['none']
58,58,Great Company,"Jul 1, 2022 - Transportation Specialist in Hyderābād",5,"['jeff', 'bezos', 'amazing', 'guy']","['sides', 'working', 'amazon']"
59,59,A decent experience,"Jul 1, 2022 - Senior Associate in Pune",5,"['good', 'exposure', 'different', 'departments', 'quick', 'upskilling']","['largely', 'metric', 'driven', 'even', 'required', 'threshold', 'obtained']"
60,60,Good,"Jun 29, 2022 - SDE 1 in Bangalore",5,"['money', 'good', 'amazon']","['pressure', 'bad', 'amazon']"
61,61,My experience in Amazon,"Jun 30, 2022 - Anonymous Employee in Hyderābād",5,"['amazon', 'great', 'place', 'make', 'career', 'received', 'whelming', 'welcome', 'manager', 'team', 'members', 'joining', 'everything', 'much', 'structured', 'organization', 'training', 'program', 'good', 'sufficient', 'time', 'complete', 'programs', 'made', 'detailed', 'research', 'say', 'proud', 'amazonian']","['hardly', 'find', 'cons', 'amazon']"
62,62,Copy paste job is nice,"Jun 30, 2022 - Anonymous Employee in Hyderābād",5,"['salary', 'time', 'work', 'limited']","['timing', 'difficult', 'employee']"
63,63,Great company,"Jun 30, 2022 - ML Data Associate II in New Delhi",5,"['everything', 'comes', 'pros', 'amazon', 'still', 'miss', 'company', 'trying', 'hard', 'get', 'back']","['sometimes', 'internal', 'politics', 'favouratism']"
64,64,,"Jun 30, 2022 - Customer Service Representative (CSR) in New Delhi",5,"['good', 'working', 'environment', 'company']","['sometimes', 'gets', 'hectic', 'work']"
65,65,Great place to work,"Jun 30, 2022 - Senior Seller Support Associate in Bangalore",5,"['option', 'work', 'home', 'office', 'great', 'place', 'culture']","['come', 'accross', 'yet']"
66,66,Vcs amazon good for freshers,"Jun 30, 2022 - Amazon Vcs in Lucknow",5,"['good', 'atmosphere', 'trainers', 'perks', 'benefits']","['dont', 'found', 'except', 'salary', 'bit', 'lower', 'side']"
67,67,Best place to nourish your career,"Jun 30, 2022 - Senior Associate in Bangalore Rural",5,"['try', 'learn', 'something', 'everyday', 'keep', 'growing']","['nothing', 'someone', 'keep', 'learning', 'exploring', 'staying', 'focused', 'day', 'job']"
68,68,Very Good Company,"Jun 29, 2022 - Business Operations Specialist in Hyderābād",5,"['good', 'environment', 'start', 'work', 'life']","['nothing', 'specifically', 'best', 'company', 'worked']"
69,69,Maintains quality and utilization,"Jun 28, 2022 - Catalog Associate in Hyderābād",5,"['amazon', 'find', 'employee', 'friendly', 'behavior', 'main', 'reason', 'join', 'great', 'benefits', 'working']","['think', 'cons', 'working', 'amazon']"
70,70,Awesome and Amazing !!!,"Jun 28, 2022 - Seller Support Associate in Pune",5,"['working', 'amazon', 'great', 'experience', 'everything', 'described', 'words', 'things', 'perfect', 'best', 'needed', 'work', 'company', 'culture', 'well', 'life', 'balance', 'provides', 'many', 'benefits', 'compensation', 'values', 'diversity', 'inclusion', 'even', 'care', 'minor', 'thing', 'taken', 'really', 'hard', 'describe']","['nothing', 'writing', 'cons', 'least', 'words', 'required', 'written']"
71,71,Best company,"Jun 28, 2022 - Software Development Engineer (SDE) in Hyderābād",5,"['friendly', 'environment', 'get', 'learn', 'new']","['wouldnt', 'say', 'side']"
72,72,Pay is very low,"Jun 28, 2022 - Anonymous Employee in Bangalore",5,"['pressure', 'flexible', 'timings', 'weekly', 'offs']","['less', 'salary', 'career', 'growth', 'bad']"
73,73,about the company,"Jun 28, 2022 - Quality Analyst in Chennai",5,"['good', 'environment', 'team', 'really', 'nice', 'people', 'gives', 'warm', 'welcome', 'new', 'hires']","['cons', 'amazon']"
74,74,Great workplace,"Jun 28, 2022 - in Hyderābād",5,"['good', 'benefits', 'growth', 'opportunities', 'great', 'culture', 'decent', 'balance']","['sometimes', 'work', 'hours', 'long', 'depends', 'situations']"
75,75,Have fun and work hard,"Jun 26, 2022 - Tron Associate in Hyderābād",5,"['friendly', 'superiors', 'career', 'growth', 'opportunities']","['salary', 'structure', 'isa', 'bit', 'average', 'pay', 'get', 'working', 'competitor', 'companies', 'amazon']"
76,76,Great Company to Work,"Jun 27, 2022 - Associate Account Manager in Chennai",5,"['great', 'happy', 'prt', 'amazon']","['nothing', 'negative', 'found', 'ever']"
77,77,My Amazon Experience,"Jun 27, 2022 - Senior Technical Program Manager in Bangalore",5,"['wonderful', 'company', 'working', 'based', 'leadership', 'principle', 'structured', 'way', 'good', 'compensation', 'nice', 'environment']","['joined', 'pandemic', 'time', 'team', 'bonding', 'challenging']"
78,78,"Senior Manager, Program Management Comp","Jun 27, 2022 - Senior Manager, Program Management in Chennai",5,"['flexibility', 'experiment', 'allows', 'room', 'fail']","['times', 'focuses', 'growth', 'areas', 'strengths']"
79,79,Risk investigator,"Jun 27, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,"['best', 'company', 'work']","['difficult', 'extend', 'career', 'bri']"
80,80,Amazing place to work,"Jun 26, 2022 - Senior User Experience Designer in Bangalore",5,"['fit', 'well', 'team', 'always', 'move', 'teams', 'find', 'place', 'great', 'work', 'customers', 'valued', 'betrayed', 'finish', 'go', 'sleep', 'without', 'hurting']","['teams', 'different', 'important', 'find', 'courage', 'walk', 'away', 'team', 'working', 'culture', 'impress', 'always', 'wants']"
81,81,Company culture and Carrier growth,"Jun 24, 2022 - Software Development Engineer -1 in Chennai",5,"['amazon', 'great', 'place', 'work', 'get', 'lot', 'learn', 'enthusiast', 'problem', 'solving', 'right', 'peers', 'helpful', 'unblocking', 'facing', 'hurdles', 'initially', 'days', 'go', 'mentored', 'unblock', 'feel', 'included', 'team', 'always', 'heard', 'people', 'considers', 'employees', 'open', 'explore', 'whichever', 'carrier', 'opportunity', 'want', 'technology']","['amazon', 'basically', 'follows', 'culture', 'hence', 'teams', 'processes', 'streamlined', 'though', 'yet', 'regularly', 'asked', 'issues', 'faced', 'new', 'people', 'definitely', 'ways', 'fix', 'streamlining', 'process']"
82,82,Best company any employee could ask for,"Jun 25, 2022 - Business Operations Specialist in Hyderābād",5,"['teammates', 'work', 'culture', 'opportunities', 'challenges']","['could', 'find']"
83,83,Amazon Experience,"Jun 24, 2022 - Tech Analyst II in Bangalore",5,"['caring', 'employees', 'flexible', 'schedules', 'great', 'pay', 'smart', 'folks', 'gon', 'na', 'learn', 'lot', 'ample', 'opportunities', 'lots', 'fun', 'work', 'life', 'balance', 'stand', 'core', 'values', 'always', 'day', 'hard', 'make', 'history']","['cons', 'company', 'yet']"
84,84,Amazing Work Experience and Exposure,"Jun 24, 2022 - Sps Associate in Chennai",5,"['cool', 'environment', 'diversity', 'great', 'campus']","['balance', 'quite', 'tough']"
85,85,Nice,"Jun 24, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",5,"['best', 'company', 'pay', 'good']","['much', 'work', 'load', 'good']"
86,86,Good company,"Jul 7, 2022 - Software Engineer in Indi, Karnataka",4,['name'],['name']
87,87,Great work life balance,"Jul 8, 2022 - Customer Service Associate in Coimbatore",4,"['great', 'worklife', 'balance', 'appreciation', 'best', 'leave', 'policy', 'gift', 'cards']","['much', 'calls', 'sale']"
88,88,Great experience,"Jun 23, 2022 - Associate Recruiting Systems in Hyderābād",5,"['company', 'makes', 'feel', 'included', 'easy', 'reach', 'people', 'management', 'helps', 'much', 'possible']","['long', 'working', 'hours', 'difficult', 'maintain', 'work', 'life', 'balance']"
89,89,Great place to work,"Jun 23, 2022 - M L Data Associate in Noida",5,"['one', 'great', 'organisation', 'work', 'lots', 'perks']",['cons']
90,90,Good Place,"Jul 6, 2022 - VCS Customer Service Representative in New Delhi",4,"['good', 'place', 'start', 'career', 'customer', 'service', 'nice', 'culture', 'ample', 'amount', 'leaves']","['nothing', 'much', 'learn', 'repetitive', 'work', 'less', 'pay']"
91,91,Best place to work,"Jul 7, 2022 - Associate in Hyderābād",4,"['friendly', 'environment', 'working']","['pressure', 'could', 'lil', 'less']"
92,92,Awesome Place to learn & grow in tech domain,"Jul 7, 2022 - Program Manager in Hyderābād",4,['name'],['name']
93,93,Management,"Jul 7, 2022 - Senior 3D Artist in Hyderābād",4,"['nice', 'place', 'work', 'leads', 'supportive']","['management', 'keep', 'changing', 'pipelines']"
94,94,Join at your own risk,"Jul 8, 2022 - Software Engineer II SDE2 in Bangalore",2,"['get', 'learn', 'lot']","['toxic', 'culture', 'wlb', 'leaders', 'strong', 'technically']"
95,95,Ok,"Jul 7, 2022 - Senior Technical Program Manager in Hyderābād",3,"['leadership', 'principles', 'great', 'see', 'implement', 'high', 'standards']","['management', 'provide', 'freedom', 'choose', 'work', 'managers', 'fearful', 'take', 'risk', 'self', 'oriented', 'people']"
96,96,"Good, but can be better!","Jun 22, 2022 - Investigation Specialist in Hyderābād",5,"['much', 'workload', 'work', 'easy', 'multiple', 'workarounds', 'issues']","['rotational', 'shifts', 'bad', 'ca', 'really', 'plan', 'anything', 'pay', 'compared', 'companies']"
97,97,Good,"Jun 22, 2022 - Quality Specialist in Hyderābād",5,"['benefits', 'good', 'salary', 'structure', 'increment', 'working', 'culture']","['career', 'growth', 'strict', 'timing', 'nothing', 'else']"
98,98,Working Experience,"Jun 22, 2022 - Software Development Engineer in Bangalore",5,['name'],['name']
99,99,,"Jun 22, 2022 - ML Data Associate-1 in Hyderābād",5,"['good', 'work', 'culture', 'environment', 'people']","['none', 'far', 'one', 'best', 'companies']"
100,100,Working Environment,"Jun 22, 2022 - Technical Support Engineer in Chennai",5,"['work', 'culture', 'life', 'balance', 'healthy', 'management']","['cons', 'mention']"
101,101,Great Place to work,"Jun 22, 2022 - Qualiity Analyst in Bangalore",5,"['supportive', 'manager', 'colleagues', 'benefits', 'general', 'shift', 'ample', 'training', 'start']","['average', 'pay', 'scale', 'low', 'basic']"
102,102,Application Support Engineer,"Jun 22, 2022 - Application Support Engineer in Bangalore",5,"['development', 'support', 'related', 'tasks']","['nothing', 'could', 'mention']"
103,103,Seeseeking role in Data analytics and Business Intelligence with an esteem organization,"Jul 5, 2022 - Data Analytics in Bangalore",4,"['work', 'culture', 'leave', 'policy']","['salary', 'low', 'per', 'industrial', 'standard']"
104,104,Great culture to work,"Jul 6, 2022 - CSA - Customer Service Associate in Pune",4,"['benefits', 'work', 'culture', 'best']","['growth', 'fast', 'many', 'conditions', 'meet', 'want', 'grow', 'carreer']"
105,105,Culture varies from team to team,"Jul 6, 2022 - Software Development Engineer II in Hyderābād",4,"['lots', 'learning', 'opportunities', 'smart', 'colleagues', 'good', 'pay']","['work', 'load', 'depends', 'team', 'politics']"
106,106,Good,"Jul 6, 2022 - Customer Service Representative in New Delhi",4,"['good', 'work', 'environment', 'friendly', 'team', 'managers']","['pay', 'less', 'compared', 'competition']"
107,107,Good place for freshers,"Jul 6, 2022 - Machine Learning Data Associate I in Hyderābād",4,"['work', 'pressure', 'good', 'environment']","['slow', 'growth', 'average', 'pay']"
108,108,Review ads for various markeplaces,"Jul 6, 2022 - Content Reviewer in Bangalore",4,"['best', 'career', 'growth', 'amazon']","['work', 'timings', 'bit']"
109,109,Good for Career Growth but less facilities for employees,"Jul 6, 2022 - SDE-2 in Hyderābād",3,"['good', 'career', 'growth', 'opportunities', 'work', 'promotions', 'fast', 'facilities', 'employees', 'less', 'compared', 'faang', 'companies']","['teams', 'oe', 'intensive', 'causing', 'burnout', 'employees', 'heavy', 'certain', 'cases', 'disturbs', 'mental', 'peace']"
110,110,Good,"Jul 6, 2022 - Team Lead in Calcutta",3,"['management', 'good', 'amazon']","['work', 'life', 'balance', 'good']"
111,111,Salary for Catalog Associate,"Jul 6, 2022 - Catalog Associate in Chennai",3,"['allowances', 'provided', 'ok']","['much', 'growth', 'designation']"
112,112,Decent role and good pay,"Jun 21, 2022 - Quality Auditor in Bangalore",5,"['good', 'work', 'life', 'balance', 'individual', 'contributor']","['cons', 'missing', 'going', 'office']"
113,113,Company review,"Jun 21, 2022 - Device Associate/Test Engineer in Chennai",5,"['best', 'place', 'work', 'learn', 'new', 'technologies']","['cons', 'amazon']"
114,114,Amazing place to work,"Jun 21, 2022 - Senior Customer Care Representative in Hyderābād",5,"['streamlined', 'benefits', 'medical', 'covid', 'friendly', 'environment', 'beautiful', 'offices', 'opportunities']","['bonus', 'incentives', 'stopped', 'increase', 'sodexo', 'customer', 'care', 'employees', 'treated', 'badly', 'employee', 'work', 'tron', 'roc']"
115,115,Best place to work,"Jun 21, 2022 - Catalog Specialist in Hyderābād",5,"['good', 'work', 'life', 'balance', 'raitational', 'shift', 'weekoffs']","['monotonous', 'work']"
116,116,Very good benefits,"Jun 21, 2022 - D2AS ASSOCIATE in Hyderābād",5,"['pay', 'ctc']","['monotonous', 'work', 'nothing', 'specific', 'otherwise']"
117,117,CSA review,"Jun 21, 2022 - CSA - Customer Service Associate in Calcutta",5,"['great', 'team', 'lovely', 'work', 'environment', 'awards', 'recognition', 'leaves', 'overtime', 'benefits']","['repetitive', 'task', 'work', 'load', 'home']"
118,118,Great,"Jun 21, 2022 - ML Associate in Chennai",5,"['everything', 'good', 'facilities', 'place']","['na', 'applicable']"
119,119,Good place to work - as long as you're part of global teams,"Jul 5, 2022 - Program Manager in Bangalore",4,"['good', 'culture', 'rsu', 'options', 'long', 'manager', 'grow']","['business', 'team', 'like', 'start', 'work', 'life', 'balance']"
120,120,Good,"Jul 5, 2022 - Customer Service Representative in Hyderābād",4,"['work', 'environment', 'pay', 'management', 'leadership', 'food', 'allowances']","['rotational', 'shifts', 'slow', 'growth', 'enough', 'work', 'knowledge', 'transfer', 'peak', 'season', 'managemnent']"
121,121,good place to work,"Jul 5, 2022 - Process Associate in Pune",4,"['good', 'work', 'culture', 'rush', 'target', 'team', 'player']","['growth', 'slow', 'may', 'feel', 'rush', 'sometimes', 'shift', 'schedule', 'changes', 'every']"
122,122,Not good,"Jul 5, 2022 - Software Engineer in Bangalore",3,"['good', 'perks', 'learning', 'projects']","['management', 'needs', 'improved']"
123,123,Good work life balance,"Jun 20, 2022 - Cloud Systems Engineer II in Bangalore",5,"['work', 'life', 'balance', 'management', 'bossy']","['lot', 'work', 'part', 'performance', 'metrics', 'expected', 'meet', 'best', 'worlds', 'fair', 'think', 'could', 'con']"
124,124,Great Company,"Jun 20, 2022 - Software Developer in Bangalore",5,"['great', 'culture', 'massive', 'growth', 'get', 'learn', 'many', 'things', 'good', 'salary']","['work', 'pressure', 'much']"
125,125,Working as Catalog Associate from past one year,"Jun 20, 2022 - Catalog Associate in Chennai",5,"['flexible', 'timings', 'perks', 'work', 'benefits', 'overtime', 'allowance', 'leaves']","['none', 'experience']"
126,126,One of the best co to work,"Jun 20, 2022 - Senior Analyst in Bangalore",5,"['part', 'amazon', 'years', 'amazing', 'time', 'great', 'learning']","['salary', 'low', 'apart', 'nothing']"
127,127,The best company to work which can offer actual work-life balance,"Jun 20, 2022 - WFM Analyst in Hyderābād",5,"['leadership', 'hierarchy', 'awesome', 'boss', 'environment']","['dept', 'stagnant', 'pay', 'less', 'switched', 'via', 'ijps', 'external', 'hires', 'paid', 'internal']"
128,128,Review,"Jun 20, 2022 - Data Associate in Chennai",5,"['awesome', 'work', 'place', 'nice', 'team', 'members', 'comfortable', 'good', 'management', 'leaves']","['internal', 'movement', 'across', 'teams', 'cons', 'career', 'growth', 'shifts', 'often', 'team', 'change']"
129,129,Strictless work,"Jul 4, 2022 - Customer Service Representative in Coimbatore",4,"['good', 'work', 'atmosphere', 'easy', 'supportive', 'colleagues']","['slow', 'increase', 'salary', 'new', 'knowledge']"
